title,price,taste,brand,description,spirit_style,state
Glenfiddich Age of Discovery19 Yr Bourbon Cask Reserve,179.99,None,Glenfiddich," Speyside, Scotland- The second release of the Age of Discovery collection inspired by the history of the Great American Rivers transporting fine oak casks filled with American bourbon. A Glenfiddich first resulting in a refined balance of spicy sweetness and dried fruit. ",Single Malt,
Glenfiddich Fire & Cane,48.99,None,Glenfiddich, Scotland- Fire & Cane is a first of its kind and has never been done before in whiskey. Marriage of peated and non-peated whiskies that have been finished in Latin rum casks. Result is a beautiful balance of smoke and sweet that is seductively rich and easy to drink. ,Single Malt,Speyside
Glenfiddich IPA Cask,57.99,None,Glenfiddich," Speyside, Scotland- The first single malt scotch whisky finished in IPA craft beer casks. A bold and zesty IPA beer imbues the rich oak casks with extra hoppy notes. Results in zesty citrus notes and the subtle tang of fresh hops complimented by carefully hand selected malt whisky. ",Single Malt,Speyside
Glenfiddich Project XX,79.99,None,Glenfiddich," Speyside, Scotland- Non-Chill Filtered, Project XX is a product of 20 casks selected for their taste profile and rarity to create a whisky unrivaled in flavor depth and complexity. A refined and balanced flavor with candyfloss sweetness and a rich vanilla oakiness. ",Single Malt,Speyside
Glenfiddich Vintage 1973,6299.99, Rich . Oak . Vanilla . Balanced ,Glenfiddich," Speyside, Scotland- Cask No. 7585, a single barrel release selected from the finest stocks and exclusive to the United States market. This is a 44 year old American Oak Cask that was originally laid down in 1973 and bottled in June 2017. Bottled at cask strength. ",Single Malt,Speyside
Glenfiddich Winter Storm,259.99, Rich . Fruit . Oak . Sweet . Balanced ,Glenfiddich," Speyside, Scotland- Limited Edition- an experimental series - 21 years maturation in Canadian ice wine casks that creates a unique layer of sweetness and depth. The oak adds a fresh lychee flavor with signature notes of candied sweets and oak. ",Single Malt,Speyside
Glenglassaugh Revival,48.99,None,Glenglassaugh," Highland, Scotland- Revival is the first expression released from Glenglassaugh distillery for more than 20 years. Aged in a unique combination of ex-red wine, fresh bourbon, and rich sherry casks for sweet caramel, toffee, honey, and red berry notes with a soft spiced oak finish. ",Single Malt,Highland
Glenglassaugh Torfa,69.99,None,Glenglassaugh," Scotland- Peaty nature with a unique expression, and is quite different to the usual style of Highland whisky. ""Torfa"" refers to the Old Norse word peat, has a brooding, smoky character. Natural color and bottled at 100 pf. 3rd place at Int. Spirits Comp. in Best Peated Whisky Category ",Single Malt,Highland
Glengoyne 10 Yr,49.99, Rich . Malt . Walnut . Balanced ,Glengoyne," Highlands, Scotland- From a distillery located right on the Highlands and the Lowlands border, this 10 Yr is dominated by the malt. The nose is full, refined and elegant and the palate light and fruity. Has an interesting finish, marked by some malty notes, and hints of walnut. ",Single Malt,Highland
Glengoyne 12 Yr,44.99,None,Glengoyne," Highlands, Scotland - To the nose, coconut oil, honey, lemon zest, and dried oak. On the palate, toffee apples, cinnamon spice, ginger, orange, and shortbread. The finish is a hint of sherry and soft oak. ",Single Malt,Highland
Glengoyne 15 Yr,69.99,None,Glengoyne," Highlands, Scotland - To the nose, hints of candied lemon and a touch of butterscotch. On the palate, oily, rich palate entry with notes of toffee popcorn, salted butter and hints of ground walnuts. Oaky, malty finish. ",Single Malt,Highland
Glengoyne 18 Yr,139.99,None,Glengoyne," Highlands, Scotland - To the nose, hints of soft spice and dried peels. A little apricot, honey and vanilla. on the palate, creamy custard and dried peels. Allspice, manuka honey and hints of butterscothch. The finish is creamy caramel and malt. ",Single Malt,Highland
Glengoyne 21 Yr,189.99,None,Glengoyne," Highlands, Scotland - To the nose, oak, barley, and red fruits. On the palate, barley and oak, possibly erring on the side too much oak. Winter spice, and cider. The finish is oak and barley. ",Single Malt,Highland
Glengoyne 25 Year,649.99, Intense . Spice . Toffee . Sherry . Complex ,Glengoyne," Highland, Scotland- Elegant spice, treacle toffee, rich sherry oak - with an endlessly complex finish. Matured exclusively in hand-selected sherry casks for a character-building quarter century. ",Single Malt,Highland
Glengoyne 35 Yr,3999.99, Rich . Apple . Almond . Leather . Long ,Glengoyne," Highlands, Scotland - The nose of apple pies, sponge cake, big wafts of caramel and chocolate. Spiced and crushed almonds. On the palate, cherry, honey and plenty of oak. Classic old leather notes and apple peels. The finish is brown sugar and rich oak - quite long. ",Single Malt,Highland
Glengoyne Cask Strength,85.99,None,Glengoyne," Scotland- The taste of Scotland's slowest distillation, bottled as tradition insists: at cask strength and un-chillfiltered. Aromas of warm baked custard, peppered strawberries, and soft oak. Thick rosehip syrup on the palate develops into spicy, gooseberry dryness. Long finish. ",Single Malt,Highland
Glenkinchie 12 Yr,53.99, Light . Cinnamon . Spice . Mild ,Glenkinchie," Lowlands, Scotland- Delicate and balanced with a large amount of sweetness. Scents and flavors of citrus zest and spices, like cinnamon and nutmeg make this an elegant and easy to sip Scotch. ",Single Malt,Lowland
Glenkinchie 24 Yr,429.99, Intense . Toffee . Vanilla . Wood . Long ,Glenkinchie," Lowlands, Scotland- Lively, with more body than younger expressions and considerably more spice. Nose opens to reveal floral, fruit, and cereal aromas. Complexity on the palate. Smooth and warming with woody notes, spice, banana toffee, and vanilla cream. Long finish. ",Single Malt,Lowland
Glenkinchie Distillers Edition,81.99, Rich . Sherry . Toffee . Long ,Glenkinchie," Lowlands, Scotland- Elegant and complex. Finishing this malt in Amontillado Sherry allows for enhanced interplay between sweet and dry. Pleasing as an aperitif, this is sophisticated and has complementing flavors of toffee, apple, and light smoke. ",Single Malt,Lowland
Glenlivet 12 Yr,31.99, Rich . Vanilla . Oak . Balanced ,Glenlivet," Speyside, Scotland- Matured in a mixture of cask types, including American & European Oak. American oak imparts vanilla notes and gives the whisky its distinct smoothness. The mineral rich water from Josie's Well ensures the best possible results to form the flavors. ",Single Malt,
Glenlivet 12 Yr First Fill,39.99,None,Glenlivet," Scotland- The Glenlivet 12 Year Old First Fill is adored for its vanilla, honey, smoky and spicy flavor notes. Light golden in color, this expression sets itself apart by utilizing first-fill ex-Bourbon casks. Dry and clean finish with a lingering spice element. ",Single Malt,
Glenlivet 12 Yr Gift with Glasses,27.99,None,Glenlivet," Speyside, Scotland- Classic Speyside single malt showing a perfect balance of fruity and floral flavors, delicately enhanced with oaky vanilla notes and nutty hints. Spicy yet restrained warming finish of hazelnut and minty maltiness. GOLD MEDAL - 2006 SAN FRANCISCO WORLD SPIRITS ",Single Malt,
Glenlivet 12yr Gift with 50mls,34.99,None,Glenlivet," Speyside, Scotland- Classic Speyside single malt showing a perfect balance of fruity and floral flavors, delicately enhanced with oaky vanilla notes and nutty hints. Spicy yet restrained warming finish of hazelnut and minty maltiness. ",Single Malt,
Glenlivet 18 Yr,89.99, Rich . Spice . Oak . Long ,Glenlivet," Speyside, Scotland- The Glenlivet Master Distiller has a wealth of casks to choose from when creating this complex expression with American and European Oak both, first and second fill. European Oak imparts spicy hints and brings complexity. First-fill American Oak adds tropical notes. ",Single Malt,Speyside
Glenlivet 25 Yr,399.99, Intense . Spice . Orange . Long ,Glenlivet," Speyside, Scotland- The XXV is a batch-produced whisky finished in individually selected ex-sherry butts. Oloroso-soaked oak imparts a nutty spiciness and enriches the flavor. Each cask is monitored to ensure the subtlest sherry tones are added to this silky and elegant whisky. ",Single Malt,Speyside
Glenlivet Archive 21 Yr,279.99, Rich . Cedar . Fruit . Long ,Glenlivet," Speyside, Scotland- The 21 Year Old is produced in small, bespoke batches. Each cask is nosed and approved, making every batch unique. The complex combination of cask types imparts richness, intensity and a long finish to the whisky. ",Single Malt,Speyside
Glenlivet Code,99.99,None,Glenlivet," Scotland-A limited edition without cask information or tasting notes, taking connoisseurs and beginners alike on a journey of discovery. Accompanied by a digital experience you are invited to a virtual underground room where you're challenged to decode the taste by aromas and flavors. ",Single Malt,Speyside
Glenlivet Founder's Reserve,25.99,None,Glenlivet," Speyside, Scotland- Founder's Reserve skillful selection of casks enhances the signature fruity flavors of Glenlivet. Traditional oak casks complemented by selective use of American first-fill casks to give a hint of creamy sweetness for an exceptionally well-balanced and smooth malt. ",Single Malt,
Glenlivet Founder's Reserve Gift,35.99,None,Glenlivet," Speyside, Scotland- Founder's Reserve skillful selection of casks enhances the fruity flavors of Glenlivet. Traditional oak casks complemented by American first-fill casks to give a hint of creamy sweetness for a well-balanced and smooth malt. Gift comes with a stirrer and bitters! ",Single Malt,
Glenlivet French Oak 15 Yr,49.99, Rich . Oak . Fruit . Long ,Glenlivet," Speyside, Scotland- A portion of the spirit is matured in of French Oak casks for a limited period, as to not overpower the final result. The French Oak increases the intensity of the whisky, resulting in a richer and creamier finish. ",Single Malt,Speyside
Glenlivet Nadurra 16 Yr,74.99, Delicate . Herbal . Fruit . Balanced ,Glenlivet," Speyside, Scotland- Aged a minimum of 16 years in Bourbon barrels, this single malt is American oak at its best. Bursting with aromas and flavors of wildflowers, exotic fruits and spice. Lingering finish. DOUBLE GOLD MEDAL - 2010 SAN FRANCISCO WORLD SPIRITS COMPETITION ",Single Malt,Speyside
Glenlivet Nadurra First Fill,84.99,None,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for thid non-chill-filtered; cask strength whisky crafted using very rare casks. First Fill is drawn from casks made from new American Oak, which impart hints of creamy vanilla and sweet pear. ",Single Malt,
Glenlivet Nadurra Oloroso,84.99,None,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for this range of non-chill-filtered; cask strength whiskies crafted using some of the rarest casks. This whisky is exclusively matured in first fill Oloroso sherry oak casks from the Jerez region of Spain. ",Single Malt,
Glenlivet Nadurra Peated Whisky Cask Finish,79.99,None,Glenlivet," Speyside, Scotland- Nadurra is the Gaelic word for natural, a fitting title for this non-chill-filtered; cask strength whisky crafted using very rares casks. Peated draws its inspiration from the traditions of whisky making, finished in casks that have held heavily peated Scotch. ",Single Malt,Speyside
Glenlivet Sgl Cask Pullman Club,319.99,None,Glenlivet," Speyside, Scotland- Matured for 18 years in a sherry butt. Incredibly long and tangy. An initial burst of sweet, fruity aromas of ripe pear, syrupy peach, and creamy milk chocolate followed by subtle nutmeg. Creamy sweet flavors fill the mouth with notes of orange and toasted almonds. ",Single Malt,Speyside
Glenlivet Sgl Cask Pullman Water,279.99,None,Glenlivet," Speyside, Scotland- Matured for 14 years in an American Oak hogshead. Soft and well balanced. Floral aromas of gorse in full bloom balanced with soft, creamy fudge and fruity ripe peach. The palate features abundant honey and vanilla with notes of ripe honeydew and traditional barley. ",Single Malt,Speyside
Glenlivet Single Cask Pullman 20th,319.99,None,Glenlivet," Speyside, Scotland- Matured from 14 years in a European Oak butt. Sweet and soft aromas of honey, golden syrup and creamy vanilla. Lively citrus orange, spicy ginger marmalade, and cinnamon on the palate rounded off by soft notes of ripe pear. Finishes long and dry with delicate spice. ",Single Malt,Speyside
